club_name,club_elo,average_home_opponent_elo,average_away_opponent_elo,average_opponent_elo
AC Sparta Praha,1634,1579.6666666666667,1393.3333333333333,1486.5
FK Pardubice,1284,1462.75,1467.0,1464.1666666666667
FK Dukla Praha,1238,1464.0,1442.6666666666667,1454.857142857143
1. FC Slovácko,1359,1348.0,1552.3333333333333,1435.5714285714287
Bohemians 1905,1365,1454.3333333333333,1405.0,1429.6666666666667
FC Baník Ostrava,1501,1428.25,1426.0,1427.5
FK Jablonec,1433,1360.0,1491.0,1425.5
FK Mladá Boleslav,1430,1345.3333333333333,1482.3333333333333,1413.8333333333333
SK Slavia Praha,1695,1400.6666666666667,1394.6666666666667,1397.6666666666667
FC Viktoria Plzeň,1614,1366.0,1427.6666666666667,1396.8333333333333
MFK Karviná,1312,1562.5,1326.0,1393.5714285714287
FC Slovan Liberec,1395,1377.3333333333333,1400.6666666666667,1389.0
FC Hradec Králové,1410,1297.6666666666667,1450.75,1385.142857142857
SK Dynamo České Budějovice,1186,1330.0,1391.25,1370.8333333333333
SK Sigma Olomouc,1401,1302.6666666666667,1385.6666666666667,1344.1666666666667
FK Teplice,1348,1400.6666666666667,1263.0,1331.8333333333333
