club_id,elo_api_name,elo_rating,updated_at
1,SlaviaPraha,1695,2025-08-19
2,MladaBoleslav,1361,2025-08-19
3,BohemiansPraha,1356,2025-08-19
4,Pardubice,1271,2025-08-19
5,BanikOstrava,1526,2025-08-19
6,SpartaPraha,1574,2025-08-19
7,Jablonec,1488,2025-08-19
8,HradecKralove,1427,2025-08-19
9,Karvina,1331,2025-08-19
10,CeskeBudejovice,1154,2025-08-19
11,Teplice,1365,2025-08-19
12,SlovanLiberec,1420,2025-08-19
13,ViktoriaPlzen,1617,2025-08-19
14,SigmaOlomouc,1385,2025-08-19
15,Dukla,1289,2025-08-19
16,Slovacko,1321,2025-08-19
